CMS Certification Number (CCN),Provider Name,Address Line 1,City/Town,State,ZIP Code,County/Parish,Telephone Number,CMS Region,Measure Code,Score,Footnote,Start Date,End Date,Measure Date Range,LOCATION1
15009,"BURNS NURSING HOME, INC.",701 MONROE STREET NW,RUSSELLVILLE,AL,35653,Franklin,(256)332-4110,4,S_001_03_DENOMINATOR,60,-,01/01/2022,12/31/2022,-,"701 MONROE STREET NW, RUSSELLVILLE, AL, 35653"
15009,"BURNS NURSING HOME, INC.",701 MONROE STREET NW,RUSSELLVILLE,AL,35653,Franklin,(256)332-4110,4,S_001_03_NUMERATOR,59,-,01/01/2022,12/31/2022,-,"701 MONROE STREET NW, RUSSELLVILLE, AL, 35653"
15009,"BURNS NURSING HOME, INC.",701 MONROE STREET NW,RUSSELLVILLE,AL,35653,Franklin,(256)332-4110,4,S_001_03_OBS_RATE,98.3,-,01/01/2022,12/31/2022,-,"701 MONROE STREET NW, RUSSELLVILLE, AL, 35653"
15009,"BURNS NURSING HOME, INC.",701 MONROE STREET NW,RUSSELLVILLE,AL,35653,Franklin,(256)332-4110,4,S_004_01_PPR_PD_COMP_PERF,No Different than the National Rate,-,10/01/2020,09/30/2022,-,"701 MONROE STREET NW, RUSSELLVILLE, AL, 35653"
15009,"BURNS NURSING HOME, INC.",701 MONROE STREET NW,RUSSELLVILLE,AL,35653,Franklin,(256)332-4110,4,S_004_01_PPR_PD_OBS,3.41,-,10/01/2020,09/30/2022,-,"701 MONROE STREET NW, RUSSELLVILLE, AL, 35653"
15009,"BURNS NURSING HOME, INC.",701 MONROE STREET NW,RUSSELLVILLE,AL,35653,Franklin,(256)332-4110,4,S_004_01_PPR_PD_OBS_READM,3,-,10/01/2020,09/30/2022,-,"701 MONROE STREET NW, RUSSELLVILLE, AL, 35653"
15009,"BURNS NURSING HOME, INC.",701 MONROE STREET NW,RUSSELLVILLE,AL,35653,Franklin,(256)332-4110,4,S_004_01_PPR_PD_RSRR,8.65,-,10/01/2020,09/30/2022,-,"701 MONROE STREET NW, RUSSELLVILLE, AL, 35653"
15009,"BURNS NURSING HOME, INC.",701 MONROE STREET NW,RUSSELLVILLE,AL,35653,Franklin,(256)332-4110,4,S_004_01_PPR_PD_RSRR_2_5,5.88,-,10/01/2020,09/30/2022,-,"701 MONROE STREET NW, RUSSELLVILLE, AL, 35653"
15009,"BURNS NURSING HOME, INC.",701 MONROE STREET NW,RUSSELLVILLE,AL,35653,Franklin,(256)332-4110,4,S_004_01_PPR_PD_RSRR_97_5,12.26,-,10/01/2020,09/30/2022,-,"701 MONROE STREET NW, RUSSELLVILLE, AL, 35653"
15009,"BURNS NURSING HOME, INC.",701 MONROE STREET NW,RUSSELLVILLE,AL,35653,Franklin,(256)332-4110,4,S_004_01_PPR_PD_VOLUME,88,-,10/01/2020,09/30/2022,-,"701 MONROE STREET NW, RUSSELLVILLE, AL, 35653"
15009,"BURNS NURSING HOME, INC.",701 MONROE STREET NW,RUSSELLVILLE,AL,35653,Franklin,(256)332-4110,4,S_005_02_DTC_COMP_PERF,No Different than the National Rate,-,10/01/2020,09/30/2022,-,"701 MONROE STREET NW, RUSSELLVILLE, AL, 35653"
